suite_name,run,host_idx,exp_name,mpc.script_name,mpc_type,network_type,mpc.protocol_setup,mpc.domain,mpc.script_args.dataset,consistency_args.type,mpc_time_s,auditing_overhead_s,auditing_overhead_bytes,global_data_sent_bytes,n_rounds
audit_fairness_wan,9,0,audit_fairness_3pc_wan,audit_fairness,mal,wan,sy-rep-ring-party,ring_split,adult,cerebro,437.2559323,7237.189387996,892459214.0,662941587.9999999,210222
audit_fairness_wan,9,1,audit_fairness_3pc_wan,audit_fairness,mal,wan,sy-rep-ring-party,ring_split,adult,cerebro,437.1755829,7237.143262572,892459214.0,662941587.9999999,210221
audit_fairness_wan,9,2,audit_fairness_3pc_wan,audit_fairness,mal,wan,sy-rep-ring-party,ring_split,adult,cerebro,437.2153927,7237.143900984,892459214.0,662941587.9999999,210222
audit_fairness_wan,11,0,audit_fairness_3pc_wan,audit_fairness,mal,wan,sy-rep-ring-party,ring_split,adult,pc,437.029298,23.487088897,59651422.0,662941587.9999999,210222
audit_fairness_wan,11,1,audit_fairness_3pc_wan,audit_fairness,mal,wan,sy-rep-ring-party,ring_split,adult,pc,436.9482817,23.403839511999998,59651422.0,662941587.9999999,210221
audit_fairness_wan,11,2,audit_fairness_3pc_wan,audit_fairness,mal,wan,sy-rep-ring-party,ring_split,adult,pc,436.9880426,23.40952309,59651422.0,662941587.9999999,210222
audit_knnshapley,1,0,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,adult,sha3s,0.431535,450.62765696799994,9964220400.0,27372900.0,3474
audit_knnshapley,1,1,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,adult,sha3s,0.512705,450.62765985999994,9964220400.0,27372900.0,3449
audit_knnshapley,1,2,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,adult,sha3s,0.513969,450.62765673999996,9964220400.0,27372900.0,3474
audit_knnshapley,3,0,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,mnist_full,sha3s,6.77745,9753.215766721001,196647950400.0,1050278000.0,45040
audit_knnshapley,3,1,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,mnist_full,sha3s,7.748099999999999,9753.215766317,196647950400.0,1050278000.0,43798
audit_knnshapley,3,2,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,mnist_full,sha3s,7.555339999999999,9753.215766672001,196647950400.0,1050278000.0,45036
audit_knnshapley,5,0,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,cifar_alexnet,sha3s,442.5398,21297.189442279,587391950400.0,328212887000.0,35663609
audit_knnshapley,5,1,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,cifar_alexnet,sha3s,442.37,21297.189442437,587391950400.0,328212887000.0,35089918
audit_knnshapley,5,2,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,cifar_alexnet,sha3s,442.5403,21297.189447214,587391950400.0,328212887000.0,35663604
audit_knnshapley,7,0,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,adult,cerebro,0.35251699999999997,31.890797258,587189220.0,27372900.0,3474
audit_knnshapley,7,1,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,adult,cerebro,0.44343299999999997,32.138082458999996,587189220.0,27372900.0,3449
audit_knnshapley,7,2,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,adult,cerebro,0.443001,32.882004071,587189220.0,27372900.0,3474
audit_knnshapley,9,0,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,mnist_full,cerebro,8.46757,244.712298452,11533767884.0,1050278000.0,45040
audit_knnshapley,9,1,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,mnist_full,cerebro,10.17515,230.976443659,11533767884.0,1050278000.0,43798
audit_knnshapley,9,2,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,mnist_full,cerebro,9.95866,231.31007246000001,11533767884.0,1050278000.0,45036
audit_knnshapley,11,0,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,cifar_alexnet,cerebro,443.8,334.86849525,36805982340.0,328212887000.0,35663609
audit_knnshapley,11,1,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,cifar_alexnet,cerebro,443.5972,334.764212267,36805982340.0,328212887000.0,35089918
audit_knnshapley,11,2,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,cifar_alexnet,cerebro,443.8003,335.354141717,36805982340.0,328212887000.0,35663604
audit_knnshapley,13,0,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,adult,pc,0.36260000000000003,8.187615869,547510694.0,27372900.0,3474
audit_knnshapley,13,1,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,adult,pc,0.418428,8.312648221,547510694.0,27372900.0,3449
audit_knnshapley,13,2,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,adult,pc,0.417782,8.230812261,547510694.0,27372900.0,3474
audit_knnshapley,15,0,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,mnist_full,pc,8.03288,141.378756504,11494089358.0,1050278000.0,45040
audit_knnshapley,15,1,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,mnist_full,pc,9.626470000000001,139.82367780200002,11494089358.0,1050278000.0,43798
audit_knnshapley,15,2,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,mnist_full,pc,9.26012,140.197328536,11494089358.0,1050278000.0,45036
audit_knnshapley,17,0,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,cifar_alexnet,pc,444.1347,236.162446303,36766303814.0,328212887000.0,35663609
audit_knnshapley,17,1,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,cifar_alexnet,pc,443.9325,235.73866719,36766303814.0,328212887000.0,35089918
audit_knnshapley,17,2,audit_sample_knnshapley,audit_sample_knnshapley,sh,lan,semi_honest_3,ring_split,cifar_alexnet,pc,444.1342,236.44930565200002,36766303814.0,328212887000.0,35663604
audit_knnshapley,19,0,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,adult,sha3s,3.17288,1441.619880194,242291684100.0,271013500.0,25956
