suite_name,run,host_idx,exp_name,mpc.script_name,mpc_type,network_type,mpc.protocol_setup,mpc.domain,mpc.script_args.dataset,consistency_args.type,mpc_time_s,auditing_overhead_s,auditing_overhead_bytes,global_data_sent_bytes,n_rounds
audit_knnshapley,19,1,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,adult,sha3s,120.597117,829.0470256070001,314380717000,32715749000.0,3802094
audit_knnshapley,19,2,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,adult,sha3s,120.597235,829.0470256070001,314380717000,32715749000.0,3802095
audit_knnshapley,21,0,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,mnist_full,sha3s,1381.7365,14638.24239178,4153124813400,2614661319000.0,72692454
audit_knnshapley,21,1,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,mnist_full,sha3s,1381.7352999999998,14638.242391574,4153124813400,2614661319000.0,72692380
audit_knnshapley,21,2,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,mnist_full,sha3s,1381.7359999999999,14638.24239148,4153124813400,2614661319000.0,72692388
audit_knnshapley,23,0,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,cifar_alexnet,sha3s,2175.2611,49069.43871463899,12803645782000,2792052170000.0,92031685
audit_knnshapley,23,1,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,cifar_alexnet,sha3s,2175.2608,49069.438714776996,12803645782000,2792052170000.0,92031536
audit_knnshapley,23,2,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,cifar_alexnet,sha3s,2175.2606,49069.43871455899,12803645782000,2792052170000.0,92031618
audit_knnshapley,25,0,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,adult,cerebro,121.53337499999999,54.74397998999999,17307370032,32715749000.0,3802157
audit_knnshapley,25,1,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,adult,cerebro,121.533211,55.096247687,17307370032,32715749000.0,3802094
audit_knnshapley,25,2,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,adult,cerebro,121.53325,54.690517623,17307370032,32715749000.0,3802095
audit_knnshapley,27,0,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,mnist_full,cerebro,1369.2271,287.33371462499997,283029576576,2614661319000.0,72692454
audit_knnshapley,27,1,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,mnist_full,cerebro,1369.2264,286.591254594,283029576576,2614661319000.0,72692380
audit_knnshapley,27,2,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,mnist_full,cerebro,1369.2264,286.452951492,283029576576,2614661319000.0,72692388
audit_knnshapley,29,0,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,cifar_alexnet,cerebro,2313.8901,874.213236955,923282470104,2792052170000.0,92031685
audit_knnshapley,29,1,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,cifar_alexnet,cerebro,2313.8898,874.9579497540001,923282470104,2792052170000.0,92031536
audit_knnshapley,29,2,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,cifar_alexnet,cerebro,2313.8896,874.7610036000001,923282470104,2792052170000.0,92031618
audit_knnshapley,31,0,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,adult,pc,122.637365,13.997908324,15641754206,32715749000.0,3802157
audit_knnshapley,31,1,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,adult,pc,122.637263,13.983169665,15641754206,32715749000.0,3802094
audit_knnshapley,31,2,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,adult,pc,122.63702,13.994697522000001,15641754206,32715749000.0,3802095
audit_knnshapley,33,0,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,mnist_full,pc,1371.2391,228.20082570900001,281363960750,2614661319000.0,72692454
audit_knnshapley,33,1,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,mnist_full,pc,1371.2388999999998,228.182215647,281363960750,2614661319000.0,72692380
audit_knnshapley,33,2,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,mnist_full,pc,1371.2386,228.14973753,281363960750,2614661319000.0,72692388
audit_knnshapley,35,0,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,cifar_alexnet,pc,2220.3173,768.8355626809999,921616854278,2792052170000.0,92031685
audit_knnshapley,35,1,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,cifar_alexnet,pc,2220.3171,769.409988658,921616854278,2792052170000.0,92031536
audit_knnshapley,35,2,audit_sample_knnshapley,audit_sample_knnshapley,mal,lan,sy-rep-ring-party,ring_split,cifar_alexnet,pc,2220.3169000000003,770.198549569,921616854278,2792052170000.0,92031618
audit_knnshapley_wan,1,0,audit_sample_knnshapley_wan,audit_sample_knnshapley,sh,wan,semi_honest_3,ring_split,adult,sha3s,2877.5632599999994,70259.757762584,13870550400,1205881026.0,17378
audit_knnshapley_wan,1,1,audit_sample_knnshapley_wan,audit_sample_knnshapley,sh,wan,semi_honest_3,ring_split,adult,sha3s,2878.2294099999995,70259.75776271001,13870550400,1205881026.0,17325
audit_knnshapley_wan,1,2,audit_sample_knnshapley_wan,audit_sample_knnshapley,sh,wan,semi_honest_3,ring_split,adult,sha3s,2878.1197099999995,70259.75776241001,13870550400,1205881026.0,17378
audit_knnshapley_wan,3,0,audit_sample_knnshapley_wan,audit_sample_knnshapley,sh,wan,semi_honest_3,ring_split,mnist_full,sha3s,22541.13879,1388489.1380722167,186501950400,309800759000.0,174458
audit_knnshapley_wan,3,1,audit_sample_knnshapley_wan,audit_sample_knnshapley,sh,wan,semi_honest_3,ring_split,mnist_full,sha3s,22544.931,1388489.1380730986,186501950400,309800759000.0,168375
