suite_name,exp_name,run,host_idx,mpc.script_name,mpc.domain,mpc.script_args.dataset,mpc_type,network_type,consistency_args.type,mpc_time_s,auditing_overhead_s,auditing_overhead_bytes,global_data_sent_bytes,n_rounds,share_convert_time_s,share_convert_global_bytes,poly_commit_time_s,poly_commit_global_bytes,sign_time_s,sign_global_bytes,sign_sk_time_s,sign_sk_global_bytes,Unnamed: 0,commitment_train,commitment_model,commitment_prediction_x,commitment_prediction_y,commitment_randomness,trusted_setup,signature_train,signature_modelowner,signature_computer_train,signature_computer_inference,identity_train,identity_modelowner,identity_computer_train,identity_computer_inference,storage_train,storage_inference
train_3pc,mal,1,0,training,ring,adult,mal,lan,sha3s,71.4020284,1207.1635838250002,247736259108.0,26830202199.999996,1026086,,,,,0.008049,2070.0,0.000577,528.0,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc,mal,1,1,training,ring,adult,mal,lan,sha3s,71.3963684,1207.1632775590003,247736259108.0,26830202199.999996,1026085,,,,,0.008046,2070.0,0.000591,528.0,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc,mal,1,2,training,ring,adult,mal,lan,sha3s,71.38251840000001,1207.1632546480002,247736259108.0,26830202199.999996,1026086,,,,,0.008035,2070.0,0.000598,528.0,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc,sh,1,0,training,ring,adult,sh,lan,sha3s,12.055744,869.184985466,9978186221.999998,1334999070.0,897886,,,,,0.005116,726.0,0.000288,96.0,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc,sh,1,1,training,ring,adult,sh,lan,sha3s,12.124973,869.1849733029999,9978186221.999998,1334999070.0,895228,,,,,0.005191,726.0,0.000225,96.0,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc,sh,1,2,training,ring,adult,sh,lan,sha3s,12.12473,869.1848493269999,9978186221.999998,1334999070.0,897886,,,,,0.00509,726.0,0.000187,96.0,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc_wan,wan,1,0,training,ring,adult,sh,wan,sha3s,2127.0643699999996,70467.731268897,13884515400.000002,1800642869.9999998,39608,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc_wan,wan,1,1,training,ring,adult,sh,wan,sha3s,2127.73544,70467.731263746,13884515400.000002,1800642869.9999998,39514,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc_wan,wan,1,2,training,ring,adult,sh,wan,sha3s,2127.6285199999998,70467.731570997,13884515400.000002,1800642869.9999998,39608,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc_wan,wan,19,0,training,ring,adult,mal,wan,sha3s,18296.9928,85880.99121949502,319893221410.0,43993076800.0,186182,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc_wan,wan,19,1,training,ring,adult,mal,wan,sha3s,18296.953,85880.99126501201,319893221410.0,43993076800.0,186181,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
