suite_name,exp_name,run,host_idx,mpc.script_name,mpc.domain,mpc.script_args.dataset,mpc_type,network_type,consistency_args.type,mpc_time_s,auditing_overhead_s,auditing_overhead_bytes,global_data_sent_bytes,n_rounds,share_convert_time_s,share_convert_global_bytes,poly_commit_time_s,poly_commit_global_bytes,sign_time_s,sign_global_bytes,sign_sk_time_s,sign_sk_global_bytes,Unnamed: 0,commitment_train,commitment_model,commitment_prediction_x,commitment_prediction_y,commitment_randomness,trusted_setup,signature_train,signature_modelowner,signature_computer_train,signature_computer_inference,identity_train,identity_modelowner,identity_computer_train,identity_computer_inference,storage_train,storage_inference
train_3pc,mal,5,2,training,ring,cifar_alexnet,mal,lan,sha3s,11471.5879,68772.994295488,14240908311650.0,23218562800000.0,35412845,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc,sh,5,0,training,ring,cifar_alexnet,sh,lan,sha3s,1373.27898,35207.15543248,659292350400.0,1788539825000.0,62524932,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc,sh,5,1,training,ring,cifar_alexnet,sh,lan,sha3s,1376.1578,35207.154465490006,659292350400.0,1788539825000.0,58844808,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc,sh,5,2,training,ring,cifar_alexnet,sh,lan,sha3s,1376.1572,35207.153371865,659292350400.0,1788539825000.0,62524927,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc_wan,wan,5,0,training,ring,cifar_alexnet,sh,wan,sha3s,69128.85590000001,4561775.171717206,657870350400.0,1885174049000.0,724321,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc_wan,wan,5,1,training,ring,cifar_alexnet,sh,wan,sha3s,69139.93000000001,4561775.17432801,657870350400.0,1885174049000.0,674188,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc_wan,wan,5,2,training,ring,cifar_alexnet,sh,wan,sha3s,69139.89160000002,4561775.165676538,657870350400.0,1885174049000.0,724318,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc_wan,wan,23,0,training,ring,cifar_alexnet,mal,wan,sha3s,736992.674,4903034.450152814,14123128312650.0,24687843289999.996,3648497,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc_wan,wan,23,1,training,ring,cifar_alexnet,mal,wan,sha3s,736992.634,4903034.486892615,14123128312650.0,24687843289999.996,3648493,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc_wan,wan,23,2,training,ring,cifar_alexnet,mal,wan,sha3s,736992.634,4903034.441073947,14123128312650.0,24687843289999.996,3648494,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc,mal,7,0,training,ring,adult,mal,lan,cerebro,88.744184,1064.775779865,843514639250.0,37338568600.0,1803190,0.758241,59643890.0,,,,,,,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
train_3pc,mal,7,1,training,ring,adult,mal,lan,cerebro,88.743599,1065.0207910450001,843514639250.0,37338568600.0,1803189,0.758799,59643890.0,,,,,,,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
train_3pc,mal,7,2,training,ring,adult,mal,lan,cerebro,88.742211,1064.946263786,843514639250.0,37338568600.0,1803190,0.762746,59643890.0,,,,,,,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
train_3pc,sh,7,0,training,ring,adult,sh,lan,cerebro,12.003065,991.474208133,20485808988.0,1512788070.0,1567502,0.113171,796176.0,,,,,,,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
train_3pc,sh,7,1,training,ring,adult,sh,lan,cerebro,12.044637,991.4612381449999,20485808988.0,1512788070.0,1564832,0.112281,796176.0,,,,,,,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
train_3pc,sh,7,2,training,ring,adult,sh,lan,cerebro,12.043221,992.187244398,20485808988.0,1512788070.0,1567502,0.118749,796176.0,,,,,,,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
train_3pc_wan,wan,7,0,training,ring,adult,sh,wan,cerebro,2120.8881699999997,261545.045063545,20485808988.0,1800642869.9999998,39608,7.144647,796176.0,,,,,,,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
train_3pc_wan,wan,7,1,training,ring,adult,sh,wan,cerebro,2121.48027,261544.82769290401,20485808988.0,1800642869.9999998,39514,7.06324,796176.0,,,,,,,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
