suite_name,exp_name,run,host_idx,mpc.script_name,mpc.domain,mpc.script_args.dataset,mpc_type,network_type,consistency_args.type,mpc_time_s,auditing_overhead_s,auditing_overhead_bytes,global_data_sent_bytes,n_rounds,share_convert_time_s,share_convert_global_bytes,poly_commit_time_s,poly_commit_global_bytes,sign_time_s,sign_global_bytes,sign_sk_time_s,sign_sk_global_bytes,Unnamed: 0,commitment_train,commitment_model,commitment_prediction_x,commitment_prediction_y,commitment_randomness,trusted_setup,signature_train,signature_modelowner,signature_computer_train,signature_computer_inference,identity_train,identity_modelowner,identity_computer_train,identity_computer_inference,storage_train,storage_inference
train_3pc,mal,5,0,training,ring,cifar_alexnet,mal,lan,sha3s,11471.6741,68772.95706772,14240908311650.0,23218562800000.0,35412850,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc,mal,5,1,training,ring,cifar_alexnet,mal,lan,sha3s,11471.674,68772.95969571,14240908311650.0,23218562800000.0,35412843,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc,mal,5,2,training,ring,cifar_alexnet,mal,lan,sha3s,11471.5879,68772.994295488,14240908311650.0,23218562800000.0,35412845,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc,sh,5,0,training,ring,cifar_alexnet,sh,lan,sha3s,1373.27898,35207.15543248,659292350400.0,1788539825000.0,62524932,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc,sh,5,1,training,ring,cifar_alexnet,sh,lan,sha3s,1376.1578,35207.154465490006,659292350400.0,1788539825000.0,58844808,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc,sh,5,2,training,ring,cifar_alexnet,sh,lan,sha3s,1376.1572,35207.153371865,659292350400.0,1788539825000.0,62524927,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc_wan,wan,5,0,training,ring,cifar_alexnet,sh,wan,sha3s,69128.85590000001,4561775.171717206,657870350400.0,1885174049000.0,724321,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc_wan,wan,5,1,training,ring,cifar_alexnet,sh,wan,sha3s,69139.93000000001,4561775.17432801,657870350400.0,1885174049000.0,674188,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc_wan,wan,5,2,training,ring,cifar_alexnet,sh,wan,sha3s,69139.89160000002,4561775.165676538,657870350400.0,1885174049000.0,724318,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc_wan,wan,23,0,training,ring,cifar_alexnet,mal,wan,sha3s,736992.674,4903034.450152814,14123128312650.0,24687843289999.996,3648497,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc_wan,wan,23,1,training,ring,cifar_alexnet,mal,wan,sha3s,736992.634,4903034.486892615,14123128312650.0,24687843289999.996,3648493,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc_wan,wan,23,2,training,ring,cifar_alexnet,mal,wan,sha3s,736992.634,4903034.441073947,14123128312650.0,24687843289999.996,3648494,,,,,,,,,14,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
train_3pc,mal,7,0,training,ring,adult,mal,lan,cerebro,71.084366,820.7558830229999,842573575088.0,26830202199.999996,1026086,0.928116,59643890.0,,,0.007578,2070.0,0.000657,528.0,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
train_3pc,mal,7,1,training,ring,adult,mal,lan,cerebro,71.07983600000001,820.4051314369999,842573575088.0,26830202199.999996,1026085,0.931772,59643890.0,,,0.007577,2070.0,0.000646,528.0,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
train_3pc,mal,7,2,training,ring,adult,mal,lan,cerebro,71.08416600000001,821.90479289,842573575088.0,26830202199.999996,1026086,0.930966,59643890.0,,,0.007572,2070.0,0.000635,528.0,8,76685312,95264,2912,32,32,0,192,64,64,64,96,32,96,96,76780864,76783936
